state,season,crop_name,sub_region,N_kg_ha,P_kg_ha,K_kg_ha,FYM_t_ha,zinc_sulphate_kg_ha,other_micronutrients,biofertilizers,split_schedule,application_notes
Andhra Pradesh,rabi,maize normal hybrids,,100,35,35,11.24,20,,,"N applied in four splits: sowing, knee high (30-35 DAS), flag leaf emergence (50-55 DAS), tasseling-silking (60-65 DAS)",Basal application of FYM at 10 t/acre; zinc sulphate applied if soil deficient
Andhra Pradesh,rabi,maize sweet corn,,80,25,20,11.24,20,,,"N applied in four splits: sowing, knee high (30-35 DAS), flag leaf emergence (50-55 DAS), tasseling-silking (60-65 DAS)",Basal application of FYM at 10 t/acre; zinc sulphate applied if soil deficient
Andhra Pradesh,rabi,maize popcorn,,40,25,20,11.24,20,,,"N applied in four splits: sowing, knee high (30-35 DAS), flag leaf emergence (50-55 DAS), tasseling-silking (60-65 DAS)",Basal application of FYM at 10 t/acre; zinc sulphate applied if soil deficient
Andhra Pradesh,rabi,maize baby corn,,75,25,20,11.24,20,,,"N applied in four splits: sowing, knee high (30-35 DAS), flag leaf emergence (50-55 DAS), tasseling-silking (60-65 DAS)",Basal application of FYM at 10 t/acre; zinc sulphate applied if soil deficient
Andhra Pradesh,rabi,greengram,,20,50,,,,,,,20 N + 50 P2O5 kg/ha as basal dose
Andhra Pradesh,rabi,blackgram,,20,50,,,,,,,20 N + 50 P2O5 kg/ha as basal dose
Andhra Pradesh,rabi,bengal gram,,20,50,,,,40,,,"20 N, 50 P2O5, 40 Sulfur/ha as basal dose"
Tamil Nadu and Puducherry,rabi,Rice,,150,50,50,,25,5 kg/ha CuSO4 in Cauvery delta zone,"Azospirillum and Phosphobacteria or Azophos, Bacillus subtilis","N and K applied in four equal splits: basal, tillering, panicle initiation and heading stages",Full P applied as basal and incorporated; foliar spray of 1% urea + 2% MAP + 1% KCl at panicle initiation and 10 days after first spray
Tamil Nadu and Puducherry,rabi,Maize,,135,62.5,50,,,TNAU MN mixture @ 30 kg/ha enriched FYM or 12.5 kg micronutrient mixture,,,"Atrazine @ 0.50 kg/ha as pre-emergence herbicide on 3-5 DAS followed by 2,4-D @ 1 kg/ha on 20-25 DAS; foliar application of TNAU maize maxim @ 7.5 kg/ha during tassel initiation and grain filling"
Tamil Nadu and Puducherry,rabi,Redgram,,,,,,,,,,
Tamil Nadu and Puducherry,rabi,Groundnut,,,,,,,Gypsum 400 kg/ha on 40 to 70 DAS,,,TNAU MN mixture @7.5 kg/ha as enriched FYM; broadcasted on soil surface immediately after sowing
Tamil Nadu and Puducherry,rabi,Sesame,,35,23,23,,,TNAU micronutrient mixture @ 12.5 kg/ha as enriched FYM,,,Thinning of excess seedlings to induce basal branching
Tamil Nadu and Puducherry,rabi,Banana,,,,,,25,,Bacillus subtilis 25 g/plant,,Foliar spray 75 g banana special in 15 litres water monthly from 4/5th month till bunch formation plus two sprays on bunches; press mud 15 t/ha or neem cake 1.5 t/ha during planting
Tamil Nadu and Puducherry,rabi,Tomato,,,,,,,,"Azospirillum, Trichoderma viride, Bacillus subtilis",,Foliar application of Vegetable special @ 5 gm/litre thrice at 10 day intervals from 40 DAP; spray ZnSO4 0.5% thrice from 40 DAP; spray 19:19:19 + Mn @ 1% at 60 DAP; Boric acid 0.3% at flowering and 10 days later
Karnataka,rabi,Ragi,,20,10,10,3,,,,"Split application of nitrogen, half during sowing and half after 6-7 weeks",
Karnataka,rabi,Maize,,27,13,6,,4,,,Full P & K and 20 N + ZnSo4 before sowing and remaining 20 N after 3-4 weeks,
Karnataka,rabi,Sunflower,,36,36,25,3,4,Boron 6 kg,,,Spray Boron 0.5% at flowering
Karnataka,rabi,Onion,,110,40,60,15,,,Azospirillum and Phosphorus solubilizing bacteria 5 kg each/ha,N in seven splits weekly from transplanting to 60 DAT,
Karnataka,rabi,Ground nut,,,,,,,,Rhizobium and PSB 500 g/ha,,Gypsum 200 kg/ac at sowing
