state,season,crop_name,sub_region,pest_or_disease_name,type,monitor_start_month,monitor_end_month,chemical_control,bio_control,threshold_note
Ladakh,kharif,Finger Ginger,,Rhizome Rot,disease,,,Drench soil with Cheshunt compound or 1% Bordeaux Mixture,,
Ladakh,kharif,Turmeric,,,,,,,,
Ladakh,kharif,Wheat,,Loose Smut,disease,,,Hot water treatment of seeds; rough out infected tillers,,
Ladakh,kharif,Onion,,Pod Borers,pest,,,Neem oil 2%,,
Ladakh,kharif,Onion,,Powdery Mildew,disease,,,Wettable sulphur at 1 gm/L,,
Ladakh,kharif,Pea,,Diamond Back Moth,pest,,,Spray Bt @ 1 ml/L,,Install pheromone traps; use mustard as trap crop
Ladakh,kharif,Pea,,Aphid,pest,,,Spray neem oil @ 5 ml/L,,"Remove weeds, balance nutrition and maintain ventilation"
Ladakh,kharif,"Cabbage, Cauliflower, Broccoli",,Diamond Back Moth,pest,,,Spray Bt @ 1 ml/L,,Install pheromone traps; use mustard as trap crop
Ladakh,kharif,"Cabbage, Cauliflower, Broccoli",,Aphid,pest,,,Spray neem oil @ 5 ml/L every 5 days if severe,Compost tea sprays,"Remove weeds, balance nutrition, maintain ventilation"
Ladakh,kharif,Apricot,,Wilt or Rhizome Rot,disease,,,Not specified,,
Ladakh,kharif,Apple,,Codling Moth,pest,9,11,,Use pheromone traps; orchard sanitation,Pick dropped fruits; bur lapping trunks in autumn
Ladakh,kharif,Apple,,Woolly Apple Aphid,pest,,,,Spray neem @ 5 ml/L fortnightly,
Ladakh,kharif,Apple,,Brown Tail Moth,pest,12,2,,,Prune twigs with nests during winter; avoid direct contact with larvae
Ladakh,kharif,Apple,,Gypsy Moth,pest,,,,,Bur lapping trunks
Ladakh,kharif,Apple,,Aphids,pest,,,Spray neem oil @ 5 ml/L,,Prophylactic spray in infestation prone areas
Lakshadweep,kharif,coconut,,Rhinoceros beetle,pest,,,Apply 250g sand with 4 naphthalene balls in crown and hook out beetle,,
Lakshadweep,kharif,coconut,,bud rot,disease,,,Drench crown with Bordeaux mixture,,
Lakshadweep,kharif,banana,,rhizome weevil,pest,,,"Spray neem-garlic emulsion, neem oil and garlic emulsion 6ml/litre",,
Lakshadweep,kharif,banana,,pseudo stem weevil,pest,,,,,"Use healthy planting materials, soak rhizome in cow dung slurry and dry."
Lakshadweep,kharif,vegetables,,Root Knot Nematode,pest,,,,Apply neemcake 1kg/plant,
Lakshadweep,kharif,vegetables,,Powdery mildew,disease,,,Spray Bordeaux mixture 1%,,
Lakshadweep,kharif,vegetables,,fruit rot,disease,,,,Soil drenching with Trichoderma 10g/l,
Madhya Pradesh,kharif,Rice,,Stem borer,pest,6,8,Profenofos 40% + Cypermethrin 4% @ 1000 ml/ha or Chlorantraniliprole 18.5 SC @ 200 ml/ha,"Release Trichogramma cards @ 50,000-75,000/ha at 21, 30, 45 days after transplanting",
Madhya Pradesh,kharif,Rice,,Leaf folder,pest,6,8,,"Release Trichogramma cards @ 50,000-75,000/ha at 21, 30, 45 days after transplanting",
Madhya Pradesh,kharif,Rice,,Brown plant hopper,pest,,,Imidacloprid 17.8% SC @ 250 ml/ha; Dinotefuran 10% + Pymetrozine 40% WG @ 250 g/ha if severe,,Spray if population exceeds economic threshold
Madhya Pradesh,kharif,Rice,,Blast disease,disease,,,Seed treatment with Tricyclazole @ 2 g/kg and Propiconazole 25 EC spray @ 500 ml/ha,,
Madhya Pradesh,kharif,Rice,,Sheath blight,disease,,,Spray Trifloxystrobin 25% + Tebuconazole 50% @ 0.5 g/L or Carbendazim 50% WP @ 2 g/L and repeat after 12-15 days if necessary,,
Madhya Pradesh,kharif,Maize,,Fall Armyworm,pest,5,6,Spray Spinetoram 11.7 SC @ 350 ml/ha or Emamectin Benzoate 5 SG @ 200 g/ha,,
Madhya Pradesh,kharif,Maize,,Leaf blight,disease,,,Spray Mancozeb 75 WP @ 1000 g/ha,,
Madhya Pradesh,kharif,Green gram,,Yellow mosaic virus,disease,,,Seed treatment with Imidacloprid 48% FS at 2 ml/kg seed,,
Madhya Pradesh,kharif,Soybean,,Stem fly,pest,,,Seed treatment with Thiamethoxam 30 FS @ 10 ml/kg seed,,
Madhya Pradesh,kharif,Tomato,,Early blight and fruit rot,disease,,,Spray Copper Oxychloride @ 3 g/L or Metalaxyl 4% + Mancozeb 64% WP @ 1.5 g/L,,
Madhya Pradesh,kharif,Brinjal,,Fruit and shoot borer,pest,,,Spray Lambda Cyhalothrin 10 WP @ 1.25 g/L or Emamectin Benzoate 5% SG @ 150-200 g/ha,Spray Beauveria bassiana or Metarhizium anisopliae @ 1.5 L/ha,
Madhya Pradesh,kharif,Chili,,Leaf spot disease,disease,,,Spray Chlorothalonil 75% WP @ 2 g/L every 15 days,,
Madhya Pradesh,kharif,Vegetables,,"Sucking pests (mites, jassids, leaf hoppers)",pest,,,Spray Neem oil @ 5 ml/L at regular intervals,,
Madhya Pradesh,kharif,Ginger and Turmeric,,Shoot borer,pest,,,Spray Emamectin Benzoate 5% SG @ 150-200 g/ha,,
Madhya Pradesh,kharif,Ginger and Turmeric,,Leaf spot,disease,,,Spray Carbendazim 12% + Mancozeb 63% @ 2.5 g/L at 15 days interval,,
Maharashtra,kharif,Maize,Vidarbha,Fall Armyworm,pest,6,7,seed treatment with Cyantraniliprole + Thiamethoxam; Emamectin or NPV sprays if necessary,,
Maharashtra,kharif,Cotton,Vidarbha,"Jassid, Thrips, Aphids, Mites",pest,5,9,Dimethoate 30 EC (10 ml/10 L) or Acetamiprid 20 SP (1.5 g/10 L),,
Maharashtra,kharif,Cotton,Vidarbha,Whiteflies,pest,5,9,Dimethoate 30 EC (33 ml/10 L),,Use yellow sticky traps (5 per acre)
Maharashtra,kharif,Cotton,Vidarbha,Bollworms,pest,5,9,"Quinalphos, Spinosad, or Cypermethrin",,
Maharashtra,kharif,Cotton,Vidarbha,Pink Bollworm,pest,5,9,,,"Use pheromone traps, Neemark 300 ppm, deep ploughing, heat treatment; suggest 30 yellow sticky traps and 2-3 light or pheromone traps per gin"
Maharashtra,kharif,Cotton,Vidarbha,Bacterial leaf blight,disease,5,9,seed treatment with Carboxin (1 g) and Thiram (3 g/kg),,
Maharashtra,kharif,Cotton,Vidarbha,Grey mildew,disease,5,9,wettable sulphur (25 g/10 L) or Carbendazim (10 g/10 L),,
Maharashtra,kharif,Cotton,Vidarbha,Myrothecium,disease,5,9,"Copper oxychloride (0.3%), Carbendazim (0.1%), Mancozeb (0.25%)",,
Maharashtra,kharif,Cotton,Vidarbha,Alternaria,disease,5,9,seed treatment and Mancozeb (0.2%) sprays every 20 days,,
Maharashtra,kharif,Cotton,Vidarbha,Para wilt,disease,5,9,drench with 25 g Copper oxychloride and 150 g urea in 10 L water,,
Maharashtra,kharif,Soybean,Vidarbha,Early shoot borer,pest,6,7,Chlorpyrifos 20 EC (5 ml/L),"Release Trichogramma at 50,000/ha/week",Remove affected shoots
Maharashtra,kharif,Soybean,Vidarbha,Internode borer,pest,6,7,Cartap hydrochloride 4G (10 kg/ha),Trichogramma release,
Maharashtra,kharif,Soybean,Vidarbha,White grub,pest,6,7,Phorate 10G (25 kg/ha) in moist soil,,
Maharashtra,kharif,Sugarcane,Vidarbha,Red rot,disease,6,7,Fungicide treatment with Carbendazim 0.1%,,Use resistant varieties and remove infected clumps
Maharashtra,kharif,Sugarcane,Vidarbha,Smut,disease,6,7,Hot water treatment (50°C for 30 minutes) or fungicide dips,,Use disease-free setts
Maharashtra,kharif,Sugarcane,Vidarbha,Wilt,disease,6,7,,,Use resistant varieties and crop rotation
Manipur,kharif,Paddy,,stem borer,pest,6,10,Quinalphos 25 EC or Profenophos 50 EC 1000 ml/ha,Trichogramma japonicum and T. chilonis release at 1 lakh/ha,Apply upon appearance of yellow stem borer and leaf folder eggs/moths
Manipur,kharif,Paddy,,leaf folder,pest,6,10,Fenitrothion 50 EC or Quinalphos 25 EC 1000 ml/ha,Conserve natural enemies,Based on economic thresholds
Manipur,kharif,Paddy,,gall midge,pest,6,7,Phorate 10G or Carbofuran 3G 1.5 kg a.i/ha within 10 days of sowing,,
Manipur,kharif,Paddy,,blast,disease,6,9,Zineb 2 kg/ha or Copper Oxychloride 1.25 kg/ha in 500 liters water,,
Manipur,kharif,Finger Millet,,blast,disease,6,9,Mancozeb 0.2% spray,,Spray at early crop stages if symptoms appear
Manipur,kharif,Finger Millet,,brown spot,disease,6,9,Mancozeb 0.2% spray,,Spray at early crop stages if symptoms appear
Manipur,kharif,Finger Millet,,armyworm,pest,6,9,Thiamethoxam 5 g/15 liters water,,Apply for protection
Manipur,kharif,Blackgram,,pod borer,pest,6,9,,,"Manage by deep summer ploughing, use FYM/compost"
Manipur,kharif,Blackgram,,aphids,pest,6,9,Dimethoate 30 EC @1ml/l or Imidacloprid 17.8 SL @0.5ml/l,,Install yellow sticky traps @10 traps/ha
Manipur,kharif,Groundnut,,seed/soil borne diseases,disease,5,6,Seed treatment with Dithane M-45 or Thiram 3 g/kg,,
Meghalaya,kharif,Paddy,,Stem borer,pest,,,,Release Trichogramma japonicum 50000 eggs/ha at 35 DAT,
Meghalaya,kharif,Paddy,,Leaf folder,pest,,,Spray Beauveria bassiana 7 g/L at boot leaf stage,,
Meghalaya,kharif,Paddy,,Various pests,pest,,,Neem oil spray 3 ml/L at 10 DAT,,
Meghalaya,kharif,Maize,,Fall Army Worm (FAW),pest,,,Spray neem oil 1500 ppm; dry soil application in whorl,Release Trichogramma pretiosum 50000 eggs/ha; spray Metarhizium anisopliae 5 g/L at 15-25 days after planting,
Meghalaya,kharif,Ginger,,Rhizome rot,disease,,,Spray neem oil 2000 ppm 2 ml/L,Spray Trichoderma viride or harzianum 10 ml/L,Preventive measure
Mizoram,kharif,maize,,Fall Armyworm,pest,5,5,"Spray Emamectin Benzoate 0.4 ml/l, Spinosad 3 ml/l, Spinetoram 0.5ml/l, Lambda-Cyhalothrin + Thiamethoxam 0.25 ml/l, Chlorantraniliprole 18.5% SC 0.4 ml/l",,Avoid chemical sprays once tasselling begins; ash or soap water spray in whorls as alternative
Mizoram,kharif,upland paddy,,"fungal diseases (Leaf Blight, Leaf Spot, Seedling Rot, Frog eye spot, Rust)",disease,,,Seed treatment with Carbendazim 2-3 g/kg seed,,
Mizoram,kharif,lowland paddy,,"Leaf folder, stem fly, semilooper",pest,,,Spray Nuvacron 1.25 ml/l or Dimethoate 0.04%,Seed treatment with Imidachloprid 7 g/kg seed,
Mizoram,kharif,soybean,,Gundhi bug,pest,,,,"Use neem-based biopesticides, release Trichogramma egg parasitoids, yellow sticky traps; conserve spiders, dragonflies, ladybugs",Deploy 100 rotten crab funnel traps per hectare during critical milking stage
Mizoram,kharif,groundnut,,Blister beetles,pest,6,,Spray Dichlorvos 2 ml/l during flowering and monthly from 30 DAS,,
Mizoram,kharif,groundnut,,fungal diseases (seedling rot etc.),disease,,,Seed treatment with Bavistin 5 g/kg seed; monthly sprays of Dichlorvos 2 ml/l + Bavistin 2 g/l from 30 DAS,,
Mizoram,kharif,tomato,,late blight,disease,,,Spray Mancozeb 0.25%,,
Mizoram,kharif,tomato,,bacterial wilt,disease,,,Spray Streptomycin 200 ppm,,
Mizoram,kharif,tomato,,fungal wilt,disease,,,Spray Captan 0.3%,,
Nagaland,kharif,Paddy,,Leaf hopper,pest,6,,Spray Diamethoate 0.05%,,
Nagaland,kharif,Paddy,,Cutworms,pest,6,,Drench soil with Chlorpyriphos 0.1%,,
Nagaland,kharif,Paddy,,Stem borer,pest,6,,,Release Trichogramma spp. @ 50000/ha one month after transplanting and 3-4 releases at fortnightly intervals,
Nagaland,kharif,Paddy,,Gundhi bug,pest,,,,,Monitor and manually collect nymphs at tillering stage using sweep nets
Nagaland,kharif,Paddy,,Blast disease,disease,,,"Apply copper oxychloride 0.25% @ 2.5 g/L water, repeat every 7-10 days until subsided",Treat seeds with Pseudomonas fluorescens and Trichoderma viride @ 10 g/kg seed,Ensure field sanitation
Nagaland,kharif,Maize,,Fall Armyworm,pest,6,,"Spray Spinosad 0.3 ml/L, Bacillus thuringiensis var. kurstaki 2 g/L, prepare poison bait with rice bran, jaggery, Thiodicarb",Spray Metarhizium anisopliae 5 g/L at 15-25 DAS and 1-2 sprays at 10-day intervals; use NSKE 5% or neem 4 ml/L; use pheromone traps @ 15/acre,Hand-pick and destroy egg masses and larvae; apply sand or ash in whorls
Nagaland,kharif,Millet,,Neck and finger blast,disease,,,,Spray Pseudomonas fluorescens twice; once at flowering and again 10 days later,Field sanitation and timely removal of diseased plants
Nagaland,kharif,Turmeric,,Rhizome Rot disease,disease,,,,Apply Trichoderma harzianum to soil every 10-15 days during early crop stage; spray Pseudomonas fluorescens @ 5 g/L every 15 days,Maintain raised beds/ridges and good drainage; use mulch and neem cake (2-5 t/ha)
Nagaland,kharif,Khasi Mandarin,,Trunk borer,pest,3,5,Inject 5 mL of 0.2% Dichlorvos solution or cotton swab soaked in petrol; apply Bordeaux paste on trunk up to 60 cm height; foliar spray Bavistin 1g/L + Monocrotophos 1 mL/L on new flushes,,Clean infested holes before treatment; mulching to conserve moisture
Nagaland,kharif,Khasi Mandarin,,Bark-eating caterpillars,pest,,,Inject 0.1% Dichlorvos into tunnels,,
Odisha,kharif,rice,,yellow stemborer,pest,,,Install pheromone traps with scirpolure 5 no./ha; spray Copper oxychloride 3 g/l water,Tricho cards (50000 eggs/ha) released 4 times,
Odisha,kharif,green gram,,yellow mosaic vein virus,disease,,,Seed treatment with Thiamethoxam 30 FS or Imidachloprid 600 FS @ 5 ml/kg seed; neem oil 1500 ppm @ 1500 ml/ha alternately with Flonicamide @ 120 g/ha,Installation of yellow sticky traps 50 no./ha at 30 DAS,
Odisha,kharif,black gram,,yellow mosaic vein virus,disease,,,Seed treatment with Thiamethoxam 30 FS or Imidachloprid 600 FS @ 5 ml/kg seed; neem oil 1500 ppm @ 1500 ml/ha alternately with Flonicamide @ 120 g/ha,Installation of yellow sticky traps 50 no./ha at 30 DAS,
Odisha,kharif,groundnut,,tobacco caterpillar,pest,,,Spray Indoxacarb + Nuvaluron @ 625 ml/ha or Chlorpyriphos 50% + Cypermethrin 5% EC @ 1000 ml/ha or Fipronil 5SC @ 1000 ml/ha,,
Odisha,kharif,sugarcane,,top shoot borer,pest,,,Spray Lambda cyhalothrin @ 2 ml/L water,,
Odisha,kharif,sugarcane,,red rot,disease,,,Sett treatment with Azoxystrobin 18.2% + Difenconazole 11.4% @ 0.1% per kg sett,,Avoid ratooning in affected areas
Odisha,kharif,brinjal,,fruit and shoot borer,pest,,,"Alternate spraying of Chlorantraniliprole 18.5% SC @ 180 ml/ha, Emamectin benzoate 5 SG @ 200 g/ha, Fenpropathrin 30% EC @ 165 ml/ha, Spinosad 45% SC @ 175 ml/ha",,
Odisha,kharif,cucurbits,,fruit fly,pest,,,Use food bait @ 100 ml/bait with malathion and install pheromone traps with Cuelure @ 20 nos/ha,,
Odisha,kharif,vegetables,,sucking insect pests,pest,,,Spray Thiamethoxam 25% WG @ 80 g/ha or Acetamiprid 20 SP @ 125 ml/ha,,
Odisha,kharif,solanaceous crops,,wilting,disease,,,Spray and soil drenching with 3 g Copper oxychloride + 1 g Plantomycin per litre water,,
Punjab,kharif,rice,,false smut,disease,,,spray recommended fungicides at boot stage,,
Punjab,kharif,rice,,foot rot,disease,,,seed treatment with Sprint 75 WS (carbendazim + mancozeb) 3 g per kg seed; seedling root dip with Trichoderma harzianum 15 g per litre water for 6 hours,seed treatment and root dip with Trichoderma harzianum,
Punjab,kharif,rice,,plant hoppers,pest,,,Avoid synthetic pyrethroids; monitor insect population regularly,,damage detected only after hopper burn
Rajasthan,kharif,maize,,Termites,pest,5,7,Apply Fipronil 0.3G at 12 kg/ha in seed furrow at sowing,,
Rajasthan,kharif,maize,,White Grubs,pest,5,7,Apply Fipronil 0.3G at 12 kg/ha in seed furrow at sowing,,
Rajasthan,kharif,maize,,Downy Mildew,disease,5,7,Treat seeds with Mancozeb 2 kg/ha (seed dressing) before planting,,
Rajasthan,kharif,maize,,Smut,disease,5,7,Treat seeds with Ceresan or Thiram 1-2 g/kg seed or fine sulphur 4 g/kg,,
Sikkim,kharif,maize,,cut worm,pest,,,,Mixture of cow urine + water + neem oil (2 litre + 8 litre + 50 ml) @ 100 ml/plant,
Sikkim,kharif,maize,,fall army worm (FAW),pest,,,Spinosad @ 0.3 ml/litre and neem oil 4 ml/litre spray at 2 weeks interval,,Apply mud slurry in whorl after FAW incidence
Sikkim,kharif,rice,,general pests,pest,,,"Neem based formulation 15 ppm @ 0.5% or 5 ml/l water, 2-3 times",,
Sikkim,kharif,ginger,,rhizome rot / soft rot,disease,,,Spray 1% Bordeaux mixture; Drench 0.3% copper oxychloride,,
Sikkim,kharif,ginger,,shoot borer,pest,,,Spray neem oil @ 3 ml/l or spinosad @ 0.2 ml/l,Beauveria bassiana @ 5 ml/l,
Sikkim,kharif,spice crops (mandua),,general pests,pest,,,Foliar spray neem-based formulation @ 0.5% or 5 ml/l water weekly,,
Sikkim,kharif,cherry pepper,,damping off and wilt,disease,,,,Treat seedlings roots with Trichoderma viride and Pseudomonas fluorescens culture @ 10 g/l for 15 min,
Sikkim,kharif,cherry pepper,,fruit fly,pest,,,,Use 8-12 pheromone traps after fruit set; regular collection and destruction of dropped fruits,
Tamil Nadu and Puducherry,kharif,Paddy,,Yellow Stem Borer,pest,,,"Emamectin benzoate 5 SG, Chlorantraniliprole 18.5 SC, Flubendiamide 480 SC, Azadirachtin early whorl; Metarhizium anisopliae, Emamectin benzoate, Novaluron, Spinetoram late whorl; Use unused insecticide at tasseling",Telenomus remus release @ 1.25 lakh/ha; Nano-pheromone lure for monitoring and mass trapping,Pheromone traps @ 50/ha and solar traps 1/ha for monitoring
Tamil Nadu and Puducherry,kharif,Paddy,,Blast Disease,disease,,,Azoxystrobin + Propiconazole @ 500 ml/ha at tillering and booting stages,,
Tamil Nadu and Puducherry,kharif,Blackgram,,Powdery Mildew and Cercospora Leaf Spot,disease,,,Tebuconazole + Trifloxystrobin 1g/l or Tebuconazole 25 EC 1ml/l at symptom appearance and 15 days later,,
Tamil Nadu and Puducherry,kharif,Chilli,,Thrips,pest,,,"Azadirachtin 1%, NSKE 5%, 3G extract 5%, five-leaf extract 10%",Bacillus subtilis 0.5%,"IPM module with border cropping, bird perches, sticky and pheromone traps"
Tamil Nadu and Puducherry,kharif,Cassava,,Mealybug,pest,,,Azadirachtin 0.15% 1.5 L/acre on 60 DAP,Release of Anagyrus lopezi and Apertochrysa astur,IPM module reduces population and increases yield
Tamil Nadu and Puducherry,kharif,Banana,,Insect pests,pest,5,7,"Emamectin benzoate 5 SG @ 0.4 g/L at 5th, 6th & 7th months via pseudo stem injector",,
Telangana,kharif,Paddy,,BPH (Brown Plant Hopper),pest,6,,Treat seeds with carbendazim or carbofuran; root dip with Azospirillum and phosphobacteria; spray chemical insecticides as required,,
Telangana,kharif,Cotton,,Fall Army Worm (FAW),pest,6,7,Spray Chlorantraniliprole 0.4 ml/L or spinetoram 0.5 ml/L or Emamectin benzoate 0.4 g/L,Release egg parasitoids (Trichogramma sp),
Telangana,kharif,Cotton,,PBW larvae (Pink Bollworm),pest,,,,,Install pheromone traps 8/acre; ETL is 10% damaged flowers
Telangana,kharif,Redgram,,Pod fly,pest,,,"Spray Thiomethaxam 25 wg @ 0.2 ml/L, Flubendamide 0.2 ml/L with Jaggery 5 g/L at early pod formation",,
Telangana,kharif,Greengram,,YMV (Yellow Mosaic Virus),disease,,,,,
Tripura,kharif,maize,,maize stem borer,pest,,,Dimethoate 30 EC 660 ml/ha or Carbaryl 50 WP 1.0 kg/ha,,
Tripura,kharif,maize,,Fall Armyworm (FAW),pest,,,Emamectin Benzoate 5% SG 600-700 g/ha,,
Tripura,kharif,paddy,,gundhi bugs,pest,,,Ethofenprox 10EC/Imidacloprid sprays,,
Tripura,kharif,paddy,,blast disease,disease,,,Hexaconazole at flowering,,
Tripura,kharif,cucurbits,,melon fly,pest,5,,Spray mixture of 30 ml Malathion and 150 L Gur in 15 L water every 15 days,,Install 25 pheromone traps per hectare in May
Tripura,kharif,cucurbits,,downy mildew,disease,,,Alternate sprays of Cymoxanil 8% + Mancozeb 64% and Thiaphanate Methyl 70% WP,,
Tripura,kharif,cucurbits,,fruit fly,pest,,,Use 25 fruit fly traps per hectare,,
Tripura,kharif,cucurbits,,fungal diseases,disease,,,Spray Bavistin 1 g + Mancozeb 2 g per liter water,,
Tripura,kharif,cucurbits,,sucking pests,pest,,,Imidacloprid 0.5 ml per liter,,
Tripura,kharif,paddy,,late blight,disease,,,Mancozeb 75 WP 0.25% solution,,
Tripura,kharif,paddy,,bacterial wilt,disease,,,Drench soil with Streptomycin 200 ppm,,
Tripura,kharif,paddy,,fungal wilt,disease,,,Drench soil with Captan 50 WP 0.3%,,
Uttar Pradesh,kharif,ginger,,soft rot,disease,5,,Spray Neem oil 2 ml/L at 10000 ppm,Dip rhizomes in Trichoderma Viride 4g/L or Trichoderma Harzianum 10ml/L,
Uttar Pradesh,kharif,direct seeded rice,,stem borer,pest,6,,"Use insecticides Chlorantraniliprole, Flubendiamide, Imidacloprid",,
Uttar Pradesh,kharif,direct seeded rice,,leaf folder,pest,6,,"Use insecticides Chlorantraniliprole, Flubendiamide, Imidacloprid",,
Uttar Pradesh,kharif,direct seeded rice,,brown plant hopper,pest,6,,"Use insecticides Chlorantraniliprole, Flubendiamide, Imidacloprid",,
Uttar Pradesh,kharif,direct seeded rice,,rice blast,disease,6,,Spray Tricyclazole in early stages if symptoms appear,,
Uttar Pradesh,kharif,direct seeded rice,,sheath blight,disease,6,,Spray Propiconazole in early stages if symptoms appear,,
Uttar Pradesh,kharif,direct seeded rice,,bacterial leaf blight,disease,6,,,,Grow resistant varieties and improve drainage
Uttar Pradesh,kharif,puddled transplanted rice,,stem borer,pest,6,9,Apply Cartap hydrochloride 4 G @ 10 kg/ha,,
Uttar Pradesh,kharif,puddled transplanted rice,,leaf folder,pest,6,9,Spray Chlorantraniliprole @ 150 ml/ha,,
Uttar Pradesh,kharif,puddled transplanted rice,,grain bugs,pest,6,9,Apply Acephate 75 SP @ 1 g/liter,,
Uttar Pradesh,kharif,puddled transplanted rice,,blast,disease,6,9,Spray Tricyclazole @ 0.6 g/liter,,
Uttar Pradesh,kharif,puddled transplanted rice,,brown spot,disease,6,9,Spray Mancozeb @ 2.5 g/liter,,
Uttar Pradesh,kharif,puddled transplanted rice,,false smut,disease,6,9,Spray Tilt (Propiconazole) @ 1 ml/liter,,
Uttar Pradesh,kharif,basmati rice,,foot rot,disease,6,,,Seed treatment and root dip with Trichoderma harzianum,
Uttarakhand,kharif,Rice,,Leaf roller,pest,,,Spray Azadirachtin 0.03% EC 5.0 L/ha,,
Uttarakhand,kharif,Rice,,Stem borer,pest,,,Spray Iprofenil 5% SC @ 1000-1500 ml/ha; Thiamethoxam 25% WG @ 100 g/ha; Imidacloprid 6% + lambda-cyhalothrin 64% SL @ 300 ml/ha,Bacillus thuringiensis var. kurstaki 2.5% @1.5 kg/ha,
Uttarakhand,kharif,Rice,,Brown planthopper,pest,,,Spray Iprofenil 5% SC @ 1000-1500 ml/ha; Thiamethoxam 25% WG @ 100 g/ha,,
Uttarakhand,kharif,Rice,,Leaf folder,pest,,,Spray Thiamethoxam 25% WG @ 100 g/ha,Bacillus thuringiensis var. kurstaki 2.5% @1.5 kg/ha,
Uttarakhand,kharif,Rice,,White backed plant hopper,pest,,,Spray Iprofenil 5% SC @ 1000-1500 ml/ha; Thiamethoxam 25% WG @ 100 g/ha,,
Uttarakhand,kharif,Rice,,Green leaf hopper,pest,,,Spray Iprofenil 5% SC @ 1000-1500 ml/ha; Thiamethoxam 25% WG @ 100 g/ha,,
Uttarakhand,kharif,Rice,,Thrips,pest,,,Spray Thiamethoxam 25% WG @ 100 g/ha,,
Uttarakhand,kharif,Rice,,Blast disease,disease,,,Spray hexaconazole 5% EC @ 1000 ml/ha or azoxystrobin 18.2% + difenoconazole 11.4% SC @ 500 ml/ha or mancozeb 75 WP 1.5-2.0 kg/ha or isoprothiolane 40% EC 750 ml/ha,Pseudomonas fluorescens 1.5% LF seed treatment and sprays,
Uttarakhand,kharif,Sheath blight disease,Maize,Sheath blight,disease,,,,Soil application of Trichoderma (Pant Bioagent-1) 1 kg/100 kg vermicompost/FYM 10-15 days before sowing; seed treatment with Trichoderma (Pant Bioagent-1) 20 g/kg seed,
West Bengal,kharif,Rice,,yellow stem borer,pest,,,Cartap hydrochloride 4 G @ 25 kg/ha at transplanting; chlorantraniliprole 0.4 G @ 10 kg/ha after 18 days of transplanting,,
West Bengal,kharif,Rice,,brown plant hopper,pest,,,Dinotefuran 20 SG @ 0.25 g/L or buprofezin 25 SC @ 1.5 ml/L as prophylactic,,
West Bengal,kharif,Rice,,leaf folder,pest,,,Emamectin Benzoate 0.4 g/L,,
West Bengal,kharif,Rice,,blast,disease,,,Tricyclazole 0.6 g/L,,
West Bengal,kharif,Rice,,sheath blight,disease,,,Validamycin 2.5 ml/L or cow-based biopesticide (4 L/15 L water),,
West Bengal,kharif,Rice,,bacterial leaf blight,disease,,,Streptomycin sulphate + Tetracycline combination 300 g + copper oxychloride 1.25 kg/ha,,Repeat spray after 15 days if necessary
West Bengal,kharif,Maize,,Fall Army Worm,pest,,,"NSKE @ 5 ml/L water at 35-40 DAS or novaluron 5.25% + Emamectin benzoate 0.9% SC @ 40 g a.i./ha at 45 DAS, or Btvarkurstaki @ 2.5 ml/L water at 60 DAS, or spinetoram 11.7 SC @ 35 g a.i./ha at 70 DAS, or chlorantraniliprole 9.5% + lambda cyhalothrin 4.6% ZC @ 85 g a.i./ha at 85 DAS",B. thuringiensis and B. bassiana,Installation of pheromone trap @ 5 per acre at 30 DAS
West Bengal,kharif,Jute,,jute semilooper,pest,,,Emamectin benzoate and Indoxacarb,B. thuringiensis and B. bassiana,
West Bengal,kharif,Jute,,stem weevil,pest,,,Cypermethrin 0.03% or quinalphos @ 2 ml/L,,
West Bengal,kharif,Jute,,yellow mite,pest,,,Dicofol 0.04% or Fenazaquin 0.02%,,
West Bengal,kharif,Jute,,stem rot,disease,,,Carbendazim @ 2 g/L or Copper oxychloride @ 4 g/L and Mancozeb @ 5 g/L,,
West Bengal,kharif,Jute,,wilt,disease,,,Validamycin 3% EC @ 2 ml/L water and Streptocyclin @ 1 ml/L water,,
West Bengal,kharif,Black gram,,weed,pest,,,Pendimethalin @ 2 ml/L pre-emergence herbicide,,Followed by manual weeding at 20-25 days after sowing
Jammu & Kashmir,Kharif,Rice,Jammu,Blast,disease,,,Spray tricyclazole @ 0.06% or azoxystrobin + difenoconazole @ 0.1% at multiple growth stages,,"Spray at tillering, panicle initiation, booting, milking/dough stages"
Jammu & Kashmir,Kharif,Rice,Jammu,Stem Borer,pest,,,Apply Cartap hydrochloride 4G (8 kg/acre) in 5-7.5 cm standing water; Cartap hydrochloride 50 SP (240 g/acre) when 5% dead hearts or 1 egg mass/sq.m.,,Do not drain or irrigate for 72 hours after application
Jammu & Kashmir,Kharif,Maize,Jammu,Blister Beetle,pest,,,Spray acetamiprid 20SP @ 0.2 g/L or chlorpyriphos 20EC @ 480 ml/acre,Manual beetle removal,Adopt trap cropping (okra/arhar)
Jammu & Kashmir,Kharif,Maize,Jammu,Stem Borer,pest,,,Apply cartap hydrochloride 4G @ 8 kg/acre in whorls,,
Jammu & Kashmir,Kharif,Maize,Jammu,Cut Worm,pest,,,Apply carbofuran 3% CG @ 32.5 kg/ha before sowing,,Use light and pheromone traps for monitoring; use pitfall traps to destroy larvae
Jammu & Kashmir,Kharif,Maize,Jammu,Leaf Blight,disease,,,Spray propiconazole @ 0.1%,,Spray at disease onset
