state,season,crop_name,sub_region,variety_names,variety_type,duration_type,purpose
Uttarakhand,kharif,Jethi rice,,"Vivek Dhan 154, VL Dhan 221",variety,,"rainfed, direct seed"
Uttarakhand,kharif,Chetaki rice,,"VL Dhan 207, VL Dhan 208, VL Dhan 209",variety,,rainfed
Uttarakhand,kharif,Maize,"Tarai, Bhabhar & Plain","Pant Sankul Makka-3, Sweta, Bajora Makka-1, Vivek Sankul-11, H M 4, H M 10, H M 11, H M 13, HQPM 1, HQPM 4, HQPM 5, Pant Sankar Makka-1, Pant Sankar Makka-4, Pant Sankar Makka-5, Pant Sankar Makka-6, Sartaj, P-3522, Vivek Makka-51",hybrid,,
Uttarakhand,kharif,Maize,hills,"Vivek Sankul Makka-11, Vivek Sankul Makka-37, Vivek Sankul Makka-31, Vivek Sankul Makka-35, Pant Sankul Makka-4, Vivek Sanker-9, Vivek Sanker-39, Vivek Sanker-45, Vivek Sanker-53, Vivek Sanker-55, Vivek Sanker-57, DMH-109",hybrid,,
Uttarakhand,kharif,Popcorn,,"Pant Popcorn-1, VL Amber Popcorn",variety,,
Uttarakhand,kharif,Fodder maize,,African Tall,variety,,
West Bengal,kharif,Rice,,"Gontra Bidhan-1, Gontra Bidhan-3, MTU-1153, MTU-1010, IET-4786, IET-4094, CR Dhan-802, Uttar Sona, Annada, Anjali, MTU-7029, CR Dhan-800, Dhiren, Swarna Sub-1, CR Dhan 801, Ranjit Sub-1, Sabita, Sahabhagi, Chinsura Nona 2 (Gosaba 6), Nona Sampad, Nona Suvarna, Dudheswar",HYV,"early, medium, late, long",
West Bengal,kharif,Maize,,"Dekan 109, Prakash, Dekan 107, Ranjit, Ganga Safed, PS-740, D course-9081, 900 M Gold, P-3522, P-3396",hybrid,"early, medium, late",
West Bengal,kharif,Black gram,,"PU-31, PU10, VBN-8, WBU-109",variety,,
Jammu & Kashmir,Kharif,Rice,Jammu,"SJR-5, Jaya, PR-113, PHB-71, Ratna, Jammu Basmati-129, Pusa Basmati 1121, China-1039, Giza-14, K-84, K-343, K-39, Shalimar Rice-1, Shalimar Rice-2, Shalimar Rice-3, Shalimar Rice-4, Shalimar Sugandh-1, Kohsaar, K332, Shalimar Rice-5",HYV,early/medium,Blast-resistant coarse/semi-fine types; cold tolerant
Jammu & Kashmir,Kharif,Maize,Jammu,"Pant U-19, Uttara, Pant U-31, NDU 99-3, KUG 479",HYV,,
Jammu & Kashmir,Kharif,Mash (Black Gram),Jammu & Kashmir,"Pant Mung-6, Pusa Vishal, SML 668, Pusa 0672, Satya",HYV,,Resistant to YMV and sucking pests
Jammu & Kashmir,Kharif,Brinjal,Jammu & Kashmir,"Pusa Purple Long, Pusa Kranti, Pusa Ankur",HYV,,
Jammu & Kashmir,Kharif,Chillies,Jammu & Kashmir,"NP-46 A, Pusa Jwala, CH-1",HYV,,
Jammu & Kashmir,Kharif,Moong,Jammu,"['Shalimar Moong-1', 'Shalimar Moong-2']",HYV,,
Jammu & Kashmir,Kharif,Soybean,Jammu,"['Shalimar Soybean-1', 'Shalimar Soybean-2']",HYV,,
Jammu & Kashmir,Kharif,Cowpea,Jammu,"['Shalimar Cowpea-1', 'Shalimar Cowpea-2']",HYV,,
Jammu & Kashmir,Kharif,Rajmash (Kidney Bean),Jammu,"['Shalimar Rajmash-1', 'Shalimar Rajmash-2', 'Shalimar Rajmash-3', 'Shalimar Rajmash-4']",HYV,,
Jammu & Kashmir,Kharif,Brinjal,Jammu & Kashmir,"['Dilruba', 'Pusa Purple Long', 'Black Beauty', 'Shalimar Improved', 'DBL-02', 'Shalimar Brinjal Hybrid-1', 'Shalimar Brinjal Hybrid-2', 'Pusa Hybrid-5']",HYV/hybrid,,
Jammu & Kashmir,Kharif,Bell Pepper,Jammu & Kashmir,"['California Wonder', 'Chinese Giant', 'Nishat-1', 'Shalimar Capsicum Hybrid-1', 'Shalimar Capsicum Hybrid-2']",HYV/hybrid,,
Jammu & Kashmir,Kharif,Chillies,Jammu & Kashmir,"['Shalimar Long', 'Kashmir Long 1', 'PC-56']",HYV,,
Jammu & Kashmir,Kharif,Tomato,Kashmir,"['S-I', 'S-II', 'Roma', 'Pant Bahar', 'PT-3']",HYV/hybrid,,
Jammu & Kashmir,Kharif,Potato,Kashmir,"['Kufri Jyoti', 'Gulmarg Special', 'Kufri Giriraj', 'Shalimar Potato-1', 'Shalimar Potato-2', 'Kufri Pukhraj', 'Kufri Himalini', 'Kufri Ghirdhari', 'Kufri Shailja']",HYV,,
Jammu & Kashmir,Kharif,Bottle Gourd,Kashmir,['Shalimar Improved'],HYV,,
Jammu & Kashmir,Kharif,Cucumber,Kashmir,['Arka Harit'],HYV,,
Jammu & Kashmir,Kharif,Bitter Gourd,Kashmir,"['Japanese Long Green', 'Pusa Sanyog', 'Shalimar Cucumber Hybrid-1', 'Shalimar Cucumber Hybrid-2']",HYV/hybrid,,
Jammu & Kashmir,Kharif,French Bean,Kashmir,"['Bountiful', 'Master', 'Arka Komal', 'Contender', 'Kentucky Wonder', 'Painted Lady', 'Asparagus beans']",variety,,
Jammu & Kashmir,Kharif,Bhindi (Okra),Kashmir,['Pusa Sawani'],HYV,,
